filepath,is_related
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-42.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-45.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-69.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-78.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-83.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-84.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-87.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/allen-p-inbox-9.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/arnold-j-inbox-149.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/arnold-j-inbox-165.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/arnold-j-inbox-166.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/arnold-j-inbox-174.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
/Users/yashaga/Carnot/data/enron-eval-medium/arnold-j-inbox-3.txt,Error reading file: Forbidden function evaluation: 'open' is not among the explicitly allowed tools or defined/imported in the preceding code
