query,original_query,concepts
Engineering books but not about Technology,<mark>Engineering books</mark> that are not <mark>Technology books</mark>,"[""engineering textbooks"", ""engineering handbooks"", ""engineering design principles"", ""engineering mathematics"", ""mechanical engineering"", ""civil engineering""]"
Lost Canadian films or documentary films about law enforcement in Canada,<mark>Documentary films about law enforcement in Canada</mark> or <mark>Lost Canadian films</mark>,"[""lost Canadian films"", ""Canadian law enforcement documentaries"", ""RCMP documentary films"", ""Canadian criminal justice documentaries""]"
Films that are either set in Nizhny Novgorod or that are Russian comedy thriller films,<mark>Russian comedy thriller films</mark> or <mark>Films set in Nizhny Novgorod</mark>,"[""films set in Nizhny Novgorod"", ""Russian comedy thriller films""]"
what are Miocene animals of Europe that are also Odd-toed ungulates,<mark>Miocene animals of Europe</mark> that are also <mark>Odd-toed ungulates</mark>,"[""Miocene epoch"", ""European paleofauna"", ""Perissodactyla (odd-toed ungulates)"", ""Rhinocerotidae (rhinoceroses)"", ""Equidae (horses)"", ""Chalicotheriidae (chalicotheres)""]"
what are Endemic fauna that are birds of Vietnam?,<mark>Endemic fauna of Vietnam</mark> that are also <mark>Birds</mark>,"[""Vietnam country-endemic bird species"", ""endemic avifauna checklist Vietnam"", ""restricted-range bird species Vietnam"", ""Endemic Bird Areas in Vietnam""]"
Mammals of Uganda excluding Fauna of Central Africa,<mark>Mammals of Uganda</mark> that are not <mark>Fauna of Central Africa</mark>,"[""Mammal species of Uganda"", ""Endemic mammals of Uganda"", ""East African mammals"", ""Albertine Rift mammal fauna"", ""Mammals of Uganda national parks""]"
Fish that are from both Macaronesia and the Atlantic Ocean.,<mark>Fauna of Macaronesia</mark> that are also <mark>Fish of the Atlantic Ocean</mark>,"[""Macaronesia marine fish"", ""Atlantic Ocean fish species"", ""Eastern Atlantic distribution"", ""Island-associated coastal fish"", ""Pelagic migratory fish""]"
"Crops originating from Uruguay, Paraguay or Chile",<mark>Crops originating from Uruguay</mark> or <mark>Crops originating from Paraguay</mark> or <mark>Crops originating from Chile</mark>,"[""native crops of Uruguay"", ""native crops of Paraguay"", ""native crops of Chile"", ""domesticated plants of the Southern Cone"", ""pre-Columbian crops of southern South America""]"
Dutch crime comedy or romantic comedy films,<mark>Dutch crime comedy films</mark> or <mark>Dutch romantic comedy films</mark>,"[""Dutch crime comedy films"", ""Dutch romantic comedy films"", ""Netherlands-origin comedy films""]"
Indian books from 1959,<mark>Indian books</mark> that are also <mark>1959 books</mark>,"[""Indian literature"", ""post-independence Indian literature"", ""late 1950s publications"", ""Indian novels"", ""Indian short story collections"", ""Indian English-language literature""]"
