query,original_query,concepts
Engineering books but not about Technology,<mark>Engineering books</mark> that are not <mark>Technology books</mark>,"[""Engineering books"", ""Technology books""]"
Lost Canadian films or documentary films about law enforcement in Canada,<mark>Documentary films about law enforcement in Canada</mark> or <mark>Lost Canadian films</mark>,"[""Lost films"", ""Canadian films"", ""Documentary films"", ""Law enforcement in Canada""]"
Films that are either set in Nizhny Novgorod or that are Russian comedy thriller films,<mark>Russian comedy thriller films</mark> or <mark>Films set in Nizhny Novgorod</mark>,"[""Films set in Nizhny Novgorod"", ""Russian films"", ""Comedy thriller films""]"
what are Miocene animals of Europe that are also Odd-toed ungulates,<mark>Miocene animals of Europe</mark> that are also <mark>Odd-toed ungulates</mark>,"[""Miocene animals of Europe"", ""Odd-toed ungulates"", ""Miocene mammals"", ""Prehistoric mammals of Europe""]"
what are Endemic fauna that are birds of Vietnam?,<mark>Endemic fauna of Vietnam</mark> that are also <mark>Birds</mark>,"[""Endemic birds of Vietnam"", ""Endemic fauna of Vietnam"", ""Birds of Vietnam"", ""Endemic birds of Southeast Asia""]"
Mammals of Uganda excluding Fauna of Central Africa,<mark>Mammals of Uganda</mark> that are not <mark>Fauna of Central Africa</mark>,"[""Mammals of Uganda"", ""Fauna of Central Africa"", ""Mammals of East Africa"", ""Mammals of the African Great Lakes region""]"
Fish that are from both Macaronesia and the Atlantic Ocean.,<mark>Fauna of Macaronesia</mark> that are also <mark>Fish of the Atlantic Ocean</mark>,"[""Fish of Macaronesia"", ""Fish of the Atlantic Ocean"", ""Eastern Atlantic fish"", ""Marine fish""]"
"Crops originating from Uruguay, Paraguay or Chile",<mark>Crops originating from Uruguay</mark> or <mark>Crops originating from Paraguay</mark> or <mark>Crops originating from Chile</mark>,"[""Crops native to Uruguay"", ""Crops native to Paraguay"", ""Crops native to Chile"", ""Southern Cone native crops""]"
Dutch crime comedy or romantic comedy films,<mark>Dutch crime comedy films</mark> or <mark>Dutch romantic comedy films</mark>,"[""Dutch films"", ""Crime comedy films"", ""Romantic comedy films""]"
Indian books from 1959,<mark>Indian books</mark> that are also <mark>1959 books</mark>,"[""Books by Indian authors"", ""Books published in India"", ""1950s books""]"
