query,original_query,concepts
Engineering books but not about Technology,<mark>Engineering books</mark> that are not <mark>Technology books</mark>,"[""Engineering textbooks"", ""Engineering handbooks"", ""Civil engineering"", ""Mechanical engineering"", ""Electrical engineering"", ""Chemical engineering""]"
Lost Canadian films or documentary films about law enforcement in Canada,<mark>Documentary films about law enforcement in Canada</mark> or <mark>Lost Canadian films</mark>,"[""Lost Canadian films"", ""Film preservation in Canada"", ""Documentary films about policing in Canada"", ""Royal Canadian Mounted Police documentaries"", ""National Film Board of Canada documentaries""]"
Films that are either set in Nizhny Novgorod or that are Russian comedy thriller films,<mark>Russian comedy thriller films</mark> or <mark>Films set in Nizhny Novgorod</mark>,"[""Films set in Nizhny Novgorod"", ""Films set in Gorky (Nizhny Novgorod)"", ""Russian comedy thriller films""]"
what are Miocene animals of Europe that are also Odd-toed ungulates,<mark>Miocene animals of Europe</mark> that are also <mark>Odd-toed ungulates</mark>,"[""Miocene of Europe"", ""Perissodactyla (odd-toed ungulates)"", ""Equidae (horses)"", ""Rhinocerotidae (rhinoceroses)"", ""Tapiridae (tapirs)"", ""Chalicotheriidae (chalicotheres)""]"
what are Endemic fauna that are birds of Vietnam?,<mark>Endemic fauna of Vietnam</mark> that are also <mark>Birds</mark>,"[""Endemic birds of Vietnam"", ""Vietnamese avifauna endemism"", ""Da Lat Plateau bird endemics"", ""Annamite Range bird endemics"", ""Threatened Vietnamese endemic birds""]"
Mammals of Uganda excluding Fauna of Central Africa,<mark>Mammals of Uganda</mark> that are not <mark>Fauna of Central Africa</mark>,"[""Mammals of Uganda"", ""East African mammals"", ""Primates of Uganda"", ""Ungulates of Uganda"", ""Large carnivores of Uganda"", ""Albertine Rift endemic mammals""]"
Fish that are from both Macaronesia and the Atlantic Ocean.,<mark>Fauna of Macaronesia</mark> that are also <mark>Fish of the Atlantic Ocean</mark>,"[""Macaronesia marine fish"", ""Atlantic Ocean fish species"", ""Azores fish species"", ""Canary Islands fish species"", ""Madeira archipelago fish"", ""Cape Verde fish species""]"
"Crops originating from Uruguay, Paraguay or Chile",<mark>Crops originating from Uruguay</mark> or <mark>Crops originating from Paraguay</mark> or <mark>Crops originating from Chile</mark>,"[""Crops domesticated in Uruguay"", ""Crops domesticated in Paraguay"", ""Crops domesticated in Chile"", ""Southern Cone domesticated crops"", ""Temperate South American domesticated plants""]"
Dutch crime comedy or romantic comedy films,<mark>Dutch crime comedy films</mark> or <mark>Dutch romantic comedy films</mark>,"[""Crime comedy films"", ""Romantic comedy films"", ""Dutch cinema"", ""Dutch-language films"", ""Dutch crime comedy films""]"
Indian books from 1959,<mark>Indian books</mark> that are also <mark>1959 books</mark>,"[""Post-independence Indian literature"", ""Mid-20th-century Indian books"", ""Indian novels"", ""Indian short story collections"", ""Indian poetry collections"", ""Indian nonfiction books""]"
Orchids of Réunion or Mauritius,<mark>Orchids of Mauritius</mark> or <mark>Orchids of Réunion</mark>,"[""Orchids of R\u00e9union"", ""Orchids of Mauritius"", ""Mascarene Islands orchid flora"", ""Endemic orchids of the Mascarene Islands"", ""Epiphytic orchids of the Mascarene Islands"", ""Terrestrial orchids of the Mascarene Islands""]"
Neogene mammals of Africa that are Odd-toed ungulates,<mark>Odd-toed ungulates</mark> that are also <mark>Neogene mammals of Africa</mark>,"[""Neogene Africa"", ""Odd-toed ungulates"", ""Rhinocerotidae"", ""Equidae"", ""Chalicotheriidae""]"
Books from Iceland that aren't about Iceland,<mark>Icelandic books</mark> that are not <mark>Books about Iceland</mark>,"[""Icelandic authors"", ""Translated from Icelandic"", ""International settings"", ""Contemporary novels"", ""Short story collections""]"
Flora of Sinaloa excluding Flora of Northeastern Mexico,<mark>Flora of Sinaloa</mark> that are not <mark>Flora of Northeastern Mexico</mark>,"[""Native flora of Sinaloa"", ""Endemic plants of Sinaloa"", ""Tropical dry forest flora of Sinaloa"", ""Coastal vegetation of Sinaloa"", ""Sierra Madre Occidental montane flora of Sinaloa"", ""Floristic inventories of Sinaloa""]"
Birds of Canada and Mexico but not Fauna of Canada,<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Fauna of Canada</mark>,"[""Birds of Canada"", ""Birds of Mexico"", ""North American avifauna"", ""Neotropical migratory birds"", ""Bird species checklists""]"
what are Paleognathae that are not Flightless birds,<mark>Paleognathae</mark> that are not <mark>Flightless birds</mark>,"[""Paleognathae clade"", ""Tinamous"", ""Tinamiformes"", ""Tinamidae"", ""Volant paleognaths""]"
"1980s animated superhero, South Korean fantasy adventure, or American children's animated space adventure films",<mark>1980s animated superhero films</mark> or <mark>South Korean fantasy adventure films</mark> or <mark>American children's animated space adventure films</mark>,"[""Animated superhero films"", ""South Korean fantasy adventure films"", ""Children's animated space adventure films"", ""American children's animated films""]"
historical novels from Hungary,<mark>Hungarian historical novels</mark>,"[""Hungarian historical fiction"", ""Historical novels set in Hungary"", ""Hungarian authors of historical fiction"", ""Hungarian-language historical novels"", ""Translated Hungarian historical fiction""]"
"Birds not native to the Western US, but that are in Mexico and Canada",<mark>Birds of Mexico</mark> that are also <mark>Birds of Canada</mark> but not <mark>Native birds of the Western United States</mark>,"[""Birds of Mexico"", ""Birds of Canada"", ""Native birds of Western United States"", ""Canada\u2013Mexico shared bird species"", ""Eastern United States bird species""]"
2010s German non-fiction books,<mark>German non-fiction books</mark> that are also <mark>2010s non-fiction books</mark>,"[""German-language non-fiction books"", ""Contemporary German non-fiction books"", ""German history non-fiction books"", ""German political non-fiction books"", ""German biographical non-fiction books""]"
"Plants in Hinduism, Bible, or religion.",<mark>Plants in Hinduism</mark> or <mark>Plants in religion</mark> or <mark>Plants in the Bible</mark>,"[""Sacred plants in Hinduism"", ""Plants in the Bible"", ""Religious symbolism of plants"", ""Ritual use of plants in worship"", ""Sacred trees and groves"", ""Ethnobotany of world religions""]"
Black comedy films about other films that are not American,<mark>Films about films</mark> that are also <mark>Black comedy films</mark> but not <mark>American black comedy films</mark>,"[""Black comedy"", ""Films about filmmaking"", ""Satire of the film industry"", ""European cinema"", ""Asian cinema"", ""Latin American cinema""]"
"Amphibians that are found in Cambodia, but not Thailand",<mark>Amphibians of Cambodia</mark> that are not <mark>Amphibians of Thailand</mark>,"[""Cambodia amphibian fauna"", ""Cambodian endemic amphibians"", ""Herpetofauna checklists of Cambodia"", ""Species occurrence records in Cambodia"", ""Southeast Asian amphibian biogeography"", ""IUCN Red List amphibian range maps""]"
Pennsylvanian animals or Carboniferous of Asia,<mark>Carboniferous animals of Asia</mark> or <mark>Pennsylvanian animals</mark>,"[""Pennsylvanian fauna"", ""Late Carboniferous paleontology"", ""Asian Carboniferous fauna"", ""Late Carboniferous tetrapods"", ""Asian Carboniferous invertebrates""]"
"Middle Jurassic reptiles, Jurassic animals or Middle Jurassic tetrapods of South America",<mark>Middle Jurassic reptiles of South America</mark> or <mark>Jurassic animals of South America</mark> or <mark>Middle Jurassic tetrapods of South America</mark>,"[""Middle Jurassic of South America"", ""South American Jurassic reptiles"", ""Middle Jurassic tetrapods"", ""South American Jurassic fauna"", ""Gondwanan Middle Jurassic vertebrates""]"
Novels set in Asia about writers but not biographical,<mark>Novels set in Asia</mark> that are also <mark>Novels about writers</mark> but not <mark>Biographical novels</mark>,"[""Literary fiction set in Asia"", ""Novels about authors"", ""Metafiction about writing"", ""Expatriate writers in Asia"", ""Publishing industry in Asia"", ""Creative block in authorship""]"
"Trees of the Windward Islands,Îles des Saintes, or Tabasco",<mark>Trees of the Windward Islands</mark> or <mark>Trees of Îles des Saintes</mark> or <mark>Trees of Tabasco</mark>,"[""Windward Islands tree species"", ""\u00celes des Saintes native trees"", ""Tabasco state tree flora"", ""Caribbean mangrove trees"", ""Lesser Antilles endemic trees"", ""Mesoamerican tropical rainforest trees""]"
